TIME,X error,Y error,X,Y
8.639426231384277,1,-3,210,240
8.672199726104736,0,-3,211,240
8.704342603683472,0,-3,211,240
8.73609709739685,0,-3,211,240
8.768258333206177,0,-2,211,239
8.799278259277344,0,-2,211,239
8.832157611846924,1,-2,210,239
8.863315105438232,0,-3,211,240
8.896171808242798,0,-2,211,239
8.927357196807861,1,-2,210,239
8.959476709365845,0,-2,211,239
8.992612600326538,0,-2,211,239
9.040304183959961,0,-2,211,239
9.07223105430603,1,-2,210,239
9.104130983352661,1,-2,210,239
9.136133193969727,1,-2,210,239
9.167759418487549,1,-3,210,240
9.199319124221802,0,-2,211,239
9.231444597244263,0,-1,211,238
9.264137744903564,1,1,210,236
9.296103715896606,5,15,206,222
9.328216552734375,10,36,201,201
9.359499454498291,15,55,196,182
9.391286134719849,22,73,189,164
9.439866065979004,28,89,183,148
9.472203016281128,34,102,177,135
9.503923416137695,41,119,170,118
9.535799741744995,46,137,165,100
9.567660331726074,50,152,161,85
9.599478483200073,55,167,156,70
9.631579399108887,58,180,153,57
9.66336965560913,61,194,150,43
9.695858001708984,64,208,147,29
9.727677345275879,65,215,146,22
9.759335994720459,65,214,146,23
9.791337728500366,64,212,147,25
9.83968710899353,62,208,149,29
9.871708393096924,59,202,152,35
9.904192209243774,55,193,156,44
9.936461448669434,51,184,160,53
9.968219757080078,45,174,166,63
10.000110149383545,38,164,173,73
10.032026529312134,31,152,180,85
10.063729524612427,22,140,189,97
10.095624923706055,13,126,198,111
10.127918720245361,4,111,207,126
10.159406661987305,-6,96,217,141
10.192257165908813,-16,80,227,157
10.239992380142212,-27,64,238,173
10.271810531616211,-37,48,248,189
10.304105520248413,-48,31,259,206
10.335822820663452,-59,15,270,222
10.367624521255493,-71,-1,282,238
10.399584770202637,-82,-17,293,254
10.43206000328064,-93,-33,304,270
10.464258432388306,-103,-48,314,285
10.49595046043396,-114,-63,325,300
10.527745723724365,-124,-77,335,314
10.559297323226929,-134,-91,345,328
10.591291189193726,-142,-104,353,341
10.639519214630127,-150,-117,361,354
10.671965599060059,-158,-127,369,364
10.70331072807312,-166,-137,377,374
10.735333442687988,-169,-145,380,382
10.767311334609985,-176,-151,387,388
10.80012845993042,-178,-158,389,395
10.831897497177124,-182,-162,393,399
10.863980293273926,-184,-165,395,402
10.895701885223389,-184,-170,395,407
10.92806887626648,-185,-172,396,409
10.959896087646484,-185,-175,396,412
10.99157190322876,-183,-174,394,411
11.039575815200806,-182,-174,393,411
11.07223629951477,-178,-173,389,410
11.104264259338379,-174,-173,385,410
11.136261224746704,-172,-170,383,407
11.167859077453613,-168,-167,379,404
11.200151205062866,-163,-165,374,402
11.231300115585327,-159,-161,370,398
11.26342511177063,-154,-157,365,394
11.295798301696777,-148,-153,359,390
11.327625036239624,-142,-148,353,385
11.35929274559021,-137,-142,348,379
11.391293048858643,-130,-138,341,375
11.439886569976807,-125,-132,336,369
11.471727848052979,-118,-125,329,362
11.504056692123413,-109,-119,320,356
11.53553295135498,-101,-112,312,349
11.567492723464966,-92,-105,303,342
11.599397420883179,-83,-98,294,335
11.631516695022583,-73,-90,284,327
11.66385555267334,-62,-83,273,320
11.696186780929565,-51,-75,262,312
11.728292226791382,-40,-68,251,305
11.759555101394653,-30,-60,241,297
11.791810035705566,-18,-53,229,290
11.839348316192627,-7,-46,218,283
11.872478008270264,4,-39,207,276
11.903368711471558,14,-31,197,268
11.93542742729187,23,-23,188,260
11.96729326248169,32,-16,179,253
11.999490737915039,39,-9,172,246
12.031453371047974,46,-1,165,238
12.063582181930542,52,5,159,232
12.095613241195679,57,12,154,225
12.12812352180481,62,17,149,220
12.159786224365234,65,22,146,215
12.19153881072998,67,26,144,211
12.239334344863892,69,29,142,208
12.272196531295776,70,31,141,206
12.30402421951294,69,32,142,205
12.335620403289795,66,31,145,206
12.367454528808594,63,30,148,207
12.400143384933472,58,28,153,209
12.432099342346191,52,25,159,212
12.463820457458496,46,21,165,216
12.495923042297363,39,17,172,220
12.527350902557373,32,11,179,226
12.559316873550415,25,5,186,232
12.591430902481079,17,-1,194,238
12.64021921157837,8,-9,203,246
12.671761989593506,-1,-16,212,253
12.703606843948364,-10,-23,221,260
12.736227035522461,-20,-30,231,267
12.767672061920166,-29,-36,240,273
12.799647569656372,-38,-42,249,279
12.831594944000244,-47,-48,258,285
12.863547563552856,-55,-54,266,291
12.895520210266113,-63,-59,274,296
12.927750825881958,-70,-63,281,300
12.960170030593872,-76,-67,287,304
12.99193811416626,-82,-70,293,307
13.039687871932983,-87,-72,298,309
13.071478843688965,-90,-72,301,309
13.10426926612854,-93,-72,304,309
13.135645866394043,-95,-70,306,307
13.167593479156494,-97,-67,308,304
13.20009708404541,-97,-64,308,301
13.231748580932617,-98,-60,309,297
13.264010667800903,-97,-55,308,292
13.296011447906494,-96,-50,307,287
13.32798171043396,-93,-46,304,283
13.359256505966187,-90,-41,301,278
13.392341613769531,-86,-37,297,274
13.439692258834839,-83,-33,294,270
13.47195291519165,-78,-28,289,265
13.504240274429321,-73,-25,284,262
13.536480903625488,-67,-22,278,259
13.567468404769897,-62,-19,273,256
13.600383758544922,-56,-15,267,252
13.631901502609253,-49,-12,260,249
13.663367509841919,-43,-9,254,246
13.695616960525513,-38,-7,249,244
13.727985620498657,-31,-5,242,242
13.759514331817627,-25,-3,236,240
13.791850090026855,-20,-1,231,238
13.839873790740967,-15,1,226,236
13.871993064880371,-10,3,221,234
13.903387784957886,-6,4,217,233
13.93625283241272,-1,4,212,233
13.967898845672607,2,4,209,233
13.999592542648315,4,1,207,236
14.031572103500366,5,-1,206,238
14.06385087966919,4,-4,207,241
14.095621824264526,2,-7,209,244
14.127379417419434,-1,-11,212,248
14.159407377243042,-5,-14,216,251
14.191473722457886,-8,-16,219,253
14.239936351776123,-11,-19,222,256
14.271910667419434,-14,-21,225,258
14.303374290466309,-18,-23,229,260
14.33633828163147,-20,-24,231,261
14.367561101913452,-21,-26,232,263
14.399839162826538,-22,-27,233,264
14.432266473770142,-23,-28,234,265
14.464147090911865,-23,-29,234,266
14.495267391204834,-23,-29,234,266
14.528198719024658,-21,-28,232,265
14.5593900680542,-20,-27,231,264
14.591466188430786,-18,-26,229,263
14.639524936676025,-16,-24,227,261
14.671345472335815,-14,-22,225,259
14.703605890274048,-12,-20,223,257
14.73579716682434,-9,-17,220,254
14.76764440536499,-7,-15,218,252
14.799969911575317,-5,-13,216,250
14.831973791122437,-2,-11,213,248
14.864196300506592,1,-8,210,245
14.895285606384277,4,-7,207,244
14.92827820777893,7,-5,204,242
14.959665298461914,8,-4,203,241
14.991567373275757,9,-4,202,241
15.039669036865234,8,-3,203,240
15.071997880935669,6,-5,205,242
15.104063034057617,3,-6,208,243
15.135453462600708,-1,-8,212,245
15.167668581008911,-5,-9,216,246
15.200246572494507,-6,-10,217,247
15.231975793838501,-8,-12,219,249
15.263664484024048,-10,-14,221,251
15.296074390411377,-10,-16,221,253
15.327991247177124,-11,-17,222,254
15.359654903411865,-11,-19,222,256
15.391833782196045,-10,-20,221,257
15.439749240875244,-9,-21,220,258
15.47159481048584,-9,-21,220,258
15.50410270690918,-8,-21,219,258
15.53611969947815,-8,-19,219,256
15.568268299102783,-8,-18,219,255
15.600102186203003,-7,-16,218,253
15.632086277008057,-7,-14,218,251
15.663736343383789,-6,-12,217,249
15.695608139038086,-5,-11,216,248
15.728070974349976,-4,-10,215,247
15.75939416885376,-2,-9,213,246
15.792245149612427,1,-9,210,246
15.840044498443604,3,-10,208,247
15.872101306915283,6,-9,205,246
15.904072761535645,6,-8,205,245
15.935662269592285,7,-7,204,244
15.967689514160156,6,-6,205,243
